t, vel_x_des, vel_x_act, vel_y_des, vel_y_act, w_des, w_act, zero, roll, pitch, height_target, height, z_left, z_right
0.3,0,-0.00251425,0,-9.10154e-05,0,0.0013396,0,-0.000910321,-0.0153105,0.643,0.651647,-0.00273634,-0.00282043
0.302,0,-0.00292185,0,-6.83959e-05,0,0.00135698,0,-0.00091152,-0.0151518,0.643,0.651551,-0.00274403,-0.00282517
0.304,0,-0.00354506,0,-4.70975e-05,0,0.00176254,0,-0.00091232,-0.0150033,0.643,0.651456,-0.00275241,-0.00283047
0.306,0,-0.00415577,0,-2.95057e-05,0,0.00216521,0,-0.00091256,-0.0148812,0.643,0.651365,-0.00276181,-0.00283667
0.308,0,-0.00473491,0,-1.491e-05,0,0.00257141,0,-0.000912335,-0.0147816,0.643,0.651278,-0.00277202,-0.00284357
0.31,0,-0.00528811,0,-2.82722e-06,0,0.00298125,0,-0.000911724,-0.0147003,0.643,0.651196,-0.00278286,-0.00285103
0.312,0,-0.00582475,0,7.12871e-06,0,0.00339365,0,-0.00091079,-0.0146341,0.643,0.651118,-0.00279422,-0.0028589
0.314,0,-0.00635268,0,1.52845e-05,0,0.00380765,0,-0.000909589,-0.0145799,0.643,0.651043,-0.00280596,-0.00286709
0.316,0,-0.00687819,0,2.19176e-05,0,0.00422247,0,-0.000908167,-0.0145357,0.643,0.650972,-0.00281799,-0.00287551
0.318,0,-0.00740636,0,2.72637e-05,0,0.00463749,0,-0.000906561,-0.0144993,0.643,0.650905,-0.00283026,-0.00288409
0.32,0,-0.0079412,0,3.15227e-05,0,0.00505217,0,-0.000904805,-0.0144695,0.643,0.65084,-0.0028427,-0.00289278
0.322,0,-0.00848588,0,3.48641e-05,0,0.00546606,0,-0.000902925,-0.0144447,0.643,0.65078,-0.00285527,-0.00290154
0.324,0,-0.00899905,0,2.90861e-05,0,0.00553148,0,-0.000901242,-0.014424,0.643,0.650722,-0.00286788,-0.00291033
0.326,0,-0.00945978,0,1.09254e-06,0,0.00475282,0,-0.000899943,-0.0144065,0.643,0.650667,-0.00287845,-0.00291914
0.328,0,-0.00991514,0,-1.74934e-05,0,0.00409559,0,-0.000898923,-0.0143912,0.643,0.650614,-0.00288625,-0.00292798
0.33,0,-0.0103622,0,-2.81606e-05,0,0.00353931,0,-0.000898119,-0.0143771,0.643,0.650563,-0.00289164,-0.00293687
0.332,0,-0.0108018,0,-3.21962e-05,0,0.00306676,0,-0.000897482,-0.014363,0.643,0.650516,-0.00289494,-0.00294583
0.334,0,-0.0112346,0,-3.15177e-05,0,0.00266318,0,-0.000896973,-0.014348,0.643,0.65047,-0.00289646,-0.00295489
0.336,0,-0.0116612,0,-3.01297e-05,0,0.00231522,0,-0.000896558,-0.014331,0.643,0.650427,-0.00289646,-0.00296407
0.338,0,-0.0120824,0,-2.86836e-05,0,0.00201336,0,-0.000896213,-0.0143115,0.643,0.650386,-0.00289519,-0.00297341
0.34,0,-0.0124988,0,-2.72575e-05,0,0.00174994,0,-0.000895918,-0.0142885,0.643,0.650348,-0.00289288,-0.00298294
0.342,0,-0.0129111,0,-2.59053e-05,0,0.00151852,0,-0.000895659,-0.0142616,0.643,0.650312,-0.0028897,-0.0029927
0.344,0,-0.0131698,0,-2.11855e-05,0,0.00124689,0,-0.000895515,-0.0142211,0.643,0.650275,-0.00288559,-0.00300245
0.346,0,-0.0134408,0,-1.65181e-05,0,0.00098323,0,-0.000895561,-0.0141587,0.643,0.650236,-0.00288046,-0.00301199
0.348,0,-0.0137305,0,-1.17579e-05,0,0.000713312,0,-0.000895789,-0.0140776,0.643,0.650193,-0.00287453,-0.00302147
0.35,0,-0.0140356,0,-6.97311e-06,0,0.000443534,0,-0.000896195,-0.0139807,0.643,0.650148,-0.00286797,-0.00303101
0.352,0,-0.0143536,0,-2.22688e-06,0,0.000178366,0,-0.000896771,-0.0138704,0.643,0.6501,-0.00286095,-0.00304074
0.354,0,-0.0146285,0,7.58232e-06,0,0.000126491,0,-0.000897523,-0.0137489,0.643,0.65005,-0.00285359,-0.00304844
0.356,0,-0.0148953,0,1.69183e-05,0,9.80012e-05,0,-0.000898473,-0.0136182,0.643,0.649999,-0.00284603,-0.00305423
0.358,0,-0.0151623,0,2.49721e-05,0,5.67327e-05,0,-0.00089962,-0.0134797,0.643,0.649945,-0.00283836,-0.00305601
0.36,0,-0.0154285,0,3.19559e-05,0,7.2618e-06,0,-0.000900959,-0.0133346,0.643,0.649889,-0.00283067,-0.00305517
0.362,0,-0.0156934,0,3.80452e-05,0,-4.69849e-05,0,-0.000902484,-0.0131839,0.643,0.649832,-0.00282304,-0.00305215
0.364,0,-0.0159704,0,4.27218e-05,0,-8.59339e-05,0,-0.000904124,-0.0130279,0.643,0.649773,-0.00281545,-0.00304727
0.366,0,-0.0162433,0,4.70612e-05,0,-0.000128103,0,-0.000905819,-0.012867,0.643,0.649711,-0.0028079,-0.0030408
0.368,0,-0.016512,0,5.11066e-05,0,-0.000171866,0,-0.000907572,-0.0127014,0.643,0.649646,-0.00280047,-0.00303311
0.37,0,-0.0167764,0,5.48935e-05,0,-0.000216024,0,-0.000909384,-0.0125316,0.643,0.649579,-0.0027932,-0.00302448
0.372,0,-0.0170368,0,5.83974e-05,0,-0.000259459,0,-0.000911257,-0.0123579,0.643,0.649509,-0.00278615,-0.00301519
0.374,0,-0.017293,0,6.15731e-05,0,-0.000301234,0,-0.000913196,-0.0121806,0.643,0.649437,-0.00277935,-0.00300545
0.376,0,-0.0175453,0,6.44628e-05,0,-0.000341024,0,-0.000915206,-0.0119998,0.643,0.649362,-0.00277282,-0.00299546
0.378,0,-0.0177937,0,6.71048e-05,0,-0.000378656,0,-0.000917292,-0.0118158,0.643,0.649285,-0.0027666,-0.00298537
0.38,0,-0.0180385,0,6.9531e-05,0,-0.000414054,0,-0.000919455,-0.0116286,0.643,0.649206,-0.00276068,-0.00297531
0.382,0,-0.0182798,0,7.17687e-05,0,-0.000447216,0,-0.000921695,-0.0114384,0.643,0.649124,-0.00275508,-0.00296541
0.384,0,-0.0185834,0,7.36616e-05,0,-0.000468081,0,-0.000923946,-0.0112469,0.643,0.649041,-0.00274984,-0.00295579
0.386,0,-0.0188825,0,7.57214e-05,0,-0.000487645,0,-0.000926148,-0.0110558,0.643,0.648957,-0.00274502,-0.00294656
0.388,0,-0.0191775,0,7.88065e-05,0,-0.000505462,0,-0.000928317,-0.010865,0.643,0.648872,-0.00274058,-0.00293777
0.39,0,-0.0194686,0,8.28188e-05,0,-0.000521732,0,-0.000930461,-0.0106745,0.643,0.648787,-0.00273651,-0.00292944
0.392,0,-0.0197561,0,8.7669e-05,0,-0.000536631,0,-0.000932591,-0.0104842,0.643,0.6487,-0.00273277,-0.0029216
0.394,0,-0.0200403,0,9.32758e-05,0,-0.000550318,0,-0.000934714,-0.0102941,0.643,0.648612,-0.00272934,-0.00291426
0.396,0,-0.0203215,0,9.95647e-05,0,-0.000562936,0,-0.000936834,-0.010104,0.643,0.648524,-0.00272619,-0.0029074
0.398,0,-0.0205999,0,0.000106467,0,-0.000574612,0,-0.000938957,-0.00991403,0.643,0.648435,-0.00272329,-0.00290105
